machine_id,machine_name,first_seen_date,last_seen_date,data_count,best_cert_machine_name,certification_date,similarity,judge,final_machine_name,memo
1359,Lスマスロ バベル(2025年),2025-10-16,2025-10-22,2,Lスマスロ バベル(2025年),,1.0,ほぼ一致,,
1477,Lスマスロ ビッグドリーム THE GOLDEN PUSHER,2026-05-20,2026-06-24,6,Lスマスロ ビッグドリーム THE GOLDEN PUSHER,,1.0,ほぼ一致,,
1258,Lスマスロ マギアレコード 魔法少女まどか☆マギカ外伝,2025-04-16,2026-06-17,59,Lスマスロ マギアレコード 魔法少女まどか☆マギカ外伝,,1.0,ほぼ一致,,
1470,Lスマスロ ミリオンゴッド-神々の軌跡-,2026-04-29,2026-06-24,9,Lスマスロ ミリオンゴッド-神々の軌跡-,,1.0,ほぼ一致,,
1174,Lスマスロ モンスターハンターライズ,2024-11-27,2026-01-07,52,Lスマスロ モンスターハンターライズ,,1.0,ほぼ一致,,
1193,Lスマスロ 一方通行 とある魔術の禁書目録,2024-12-25,2025-09-10,6,Lスマスロ 一方通行 とある魔術の禁書目録,,1.0,ほぼ一致,,
1393,Lスマスロ 化物語,2025-12-10,2026-05-20,23,Lスマスロ 化物語,,1.0,ほぼ一致,,
1411,Lスマスロ 北斗の拳 転生の章2,2026-01-14,2026-06-24,21,Lスマスロ 北斗の拳 転生の章2,,1.0,ほぼ一致,,
924,Lスマスロ 戦国BASARA GIGA,2023-08-16,2023-09-06,4,Lスマスロ 戦国BASARA GIGA,,1.0,ほぼ一致,,
1429,Lスマスロ 攻殻機動隊(2026年),2026-02-11,2026-06-24,20,Lスマスロ 攻殻機動隊(2026年),,1.0,ほぼ一致,,
1360,Lスマスロ 新鬼武者3,2025-10-16,2026-02-18,18,Lスマスロ 新鬼武者3,,1.0,ほぼ一致,,
1346,Lスマスロ 東京リベンジャーズ,2025-09-17,2026-01-21,17,Lスマスロ 東京リベンジャーズ,,1.0,ほぼ一致,,
1406,Lスマスロ 沖ドキ!DUO アンコール,2025-12-31,2026-05-27,21,Lスマスロ 沖ドキ!DUO アンコール,,1.0,ほぼ一致,,
1443,Lスマスロ 甲鉄城のカバネリ 海門決戦,2026-03-11,2026-06-24,16,Lスマスロ 甲鉄城のカバネリ 海門決戦,,1.0,ほぼ一致,,
1407,Lスマスロ 秘宝伝(2025年),2025-12-31,2026-03-11,11,Lスマスロ 秘宝伝(2025年),,1.0,ほぼ一致,,
1273,Lスマスロ 緑ドン VIVA!情熱南米編 REVIVAL,2025-05-14,2025-09-10,8,Lスマスロ 緑ドン VIVA!情熱南米編 REVIVAL,,1.0,ほぼ一致,,
1180,Lスマスロ 聖戦士ダンバイン,2024-12-11,2025-09-10,13,Lスマスロ 聖戦士ダンバイン,,1.0,ほぼ一致,,
1149,Lスマスロ 鬼武者3(2024年),2024-10-16,2025-09-10,7,Lスマスロ 鬼武者3(2024年),,1.0,ほぼ一致,,
967,Lスマスロとある魔術の禁書目録,2023-11-22,2025-09-10,28,Lスマスロとある魔術の禁書目録,,1.0,ほぼ一致,,
1031,Lスマスロキングパルサー,2024-03-13,2025-09-10,18,Lスマスロキングパルサー,,1.0,ほぼ一致,,
